hybrid1opt fmincon one angle with range 0.785398
 fmincon solution min 1.9999996020e+02 max 2.0000259252e+02  fvalue min 4.8216801264e-05  time 5.048064e+01 cpu time 128.125000 function evals 13080
 particle swarm solution min 1.9999883167e+02 max 2.0000001875e+02  fvalue max 1.0872227019e-04  time 1.322641e+02 cpu time 330.171875 function evals 33572

Nodal information - optimization model
Node   X      Y     Restraints       Fx          Fy           U-x    U-y
 1    0.0    0.0    0    0           0.0          0.0                    0               0
 2    0.1    0.0    1    0           0.0          0.0           2.7682386e-05               0
 3    0.2    0.0    1    0           0.0          0.0           4.1619975e-05               0
 4    0.3    0.0    1    0           0.0          0.0           5.0024105e-05               0
 5    0.4    0.0    1    0           0.0          0.0           5.575222e-05               0
 6    0.5    0.0    1    0           0.0          0.0           5.9898612e-05               0
 7    0.6    0.0    1    0           0.0          0.0           6.2998598e-05               0
 8    0.7    0.0    1    0           0.0          0.0           6.5364153e-05               0
 9    0.8    0.0    1    0           0.0          0.0           6.7213194e-05               0
10    0.9    0.0    1    0           0.0          0.0           6.8713966e-05               0
11    1.0    0.0    1    0           0.0          0.0           6.9954196e-05               0
12    0.0    0.1    1    1          10.0          0.0           4.6592246e-05      1.4363728e-05
13    0.1    0.1    1    1           0.0          0.0           4.1822044e-05      -3.183543e-07
14    0.2    0.1    1    1           0.0          0.0           4.759843e-05      -1.5830378e-06
15    0.3    0.1    1    1           0.0          0.0           5.3325608e-05      -1.7628229e-06
16    0.4    0.1    1    1           0.0          0.0           5.7892333e-05      -1.8543421e-06
17    0.5    0.1    1    1           0.0          0.0           6.1448176e-05      -1.9915497e-06
18    0.6    0.1    1    1           0.0          0.0           6.421284e-05      -2.1995543e-06
19    0.7    0.1    1    1           0.0          0.0           6.6373919e-05      -2.5087312e-06
20    0.8    0.1    1    1           0.0          0.0           6.8103907e-05      -2.9721138e-06
21    0.9    0.1    1    1           0.0          0.0           6.9611254e-05      -3.6827931e-06
22    1.0    0.1    1    1           0.0          0.0           7.1326029e-05      -4.9682789e-06
23    0.0    0.1    1    1          10.0          0.0           6.3555837e-05      2.2920153e-05
24    0.1    0.1    1    1           0.0          0.0           5.9748306e-05      7.5281687e-06
25    0.2    0.1    1    1           0.0          0.0           5.8215868e-05      5.8854011e-07
26    0.3    0.1    1    1           0.0          0.0           5.9964578e-05      -1.7371858e-06
27    0.4    0.1    1    1           0.0          0.0           6.2496452e-05      -2.7773662e-06
28    0.5    0.1    1    1           0.0          0.0           6.4937036e-05      -3.4506374e-06
29    0.6    0.1    1    1           0.0          0.0           6.7055482e-05      -4.0670372e-06
30    0.7    0.1    1    1           0.0          0.0           6.8836314e-05      -4.7938187e-06
31    0.8    0.1    1    1           0.0          0.0           7.0363657e-05      -5.7927458e-06
32    0.9    0.1    1    1           0.0          0.0           7.1813085e-05      -7.2974887e-06
33    1.0    0.1    1    1           0.0          0.0           7.3373237e-05      -9.6125183e-06
34    0.0    0.2    1    1          10.0          0.0           7.6466034e-05      2.8429411e-05
35    0.1    0.2    1    1           0.0          0.0           7.2364104e-05      1.418844e-05
36    0.2    0.2    1    1           0.0          0.0           6.9449765e-05      5.0806891e-06
37    0.3    0.2    1    1           0.0          0.0           6.8407881e-05      1.0677154e-07
38    0.4    0.2    1    1           0.0          0.0           6.8885873e-05      -2.5338494e-06
39    0.5    0.2    1    1           0.0          0.0           7.0011335e-05      -4.1685045e-06
40    0.6    0.2    1    1           0.0          0.0           7.1305256e-05      -5.4426705e-06
41    0.7    0.2    1    1           0.0          0.0           7.2576541e-05      -6.727113e-06
42    0.8    0.2    1    1           0.0          0.0           7.3797634e-05      -8.3232486e-06
43    0.9    0.2    1    1           0.0          0.0           7.5030138e-05      -1.0549875e-05
44    1.0    0.2    1    1           0.0          0.0           7.6396799e-05      -1.3773024e-05
45    0.0    0.3    1    1          10.0          0.0           8.6559807e-05      3.2614065e-05
46    0.1    0.3    1    1           0.0          0.0           8.2726471e-05      1.9456016e-05
47    0.2    0.3    1    1           0.0          0.0           7.9366202e-05      9.5437585e-06
48    0.3    0.3    1    1           0.0          0.0           7.7183259e-05      2.882371e-06
49    0.4    0.3    1    1           0.0          0.0           7.6235464e-05      -1.3639565e-06
50    0.5    0.3    1    1           0.0          0.0           7.6188175e-05      -4.1633267e-06
51    0.6    0.3    1    1           0.0          0.0           7.6639322e-05      -6.272582e-06
52    0.7    0.3    1    1           0.0          0.0           7.7337723e-05      -8.2222901e-06
53    0.8    0.3    1    1           0.0          0.0           7.8172778e-05      -1.0437355e-05
54    0.9    0.3    1    1           0.0          0.0           7.9127352e-05      -1.332381e-05
55    1.0    0.3    1    1           0.0          0.0           8.0244565e-05      -1.7321445e-05
56    0.0    0.4    1    1          10.0          0.0           9.5247671e-05      3.6013296e-05
57    0.1    0.4    1    1           0.0          0.0           9.1625934e-05      2.3609593e-05
58    0.2    0.4    1    1           0.0          0.0           8.8259659e-05      1.3417112e-05
59    0.3    0.4    1    1           0.0          0.0           8.5609881e-05      5.7414915e-06
60    0.4    0.4    1    1           0.0          0.0           8.3874483e-05      2.6920633e-07
61    0.5    0.4    1    1           0.0          0.0           8.2969359e-05      -3.6246256e-06
62    0.6    0.4    1    1           0.0          0.0           8.2684169e-05      -6.6043322e-06
63    0.7    0.4    1    1           0.0          0.0           8.2818106e-05      -9.2547615e-06
64    0.8    0.4    1    1           0.0          0.0           8.3240952e-05      -1.2080207e-05
65    0.9    0.4    1    1           0.0          0.0           8.3886226e-05      -1.5551955e-05
66    1.0    0.4    1    1           0.0          0.0           8.4728276e-05      -2.0163046e-05
67    0.0    0.5    1    1          10.0          0.0           0.00010310936      3.8907192e-05
68    0.1    0.5    1    1           0.0          0.0           9.9667843e-05      2.6925918e-05
69    0.2    0.5    1    1           0.0          0.0           9.6402797e-05      1.6598051e-05
70    0.3    0.5    1    1           0.0          0.0           9.359644e-05      8.3103381e-06
71    0.4    0.5    1    1           0.0          0.0           9.1431177e-05      1.982549e-06
72    0.5    0.5    1    1           0.0          0.0           8.9946901e-05      -2.7876154e-06
73    0.6    0.5    1    1           0.0          0.0           8.9073851e-05      -6.5460235e-06
74    0.7    0.5    1    1           0.0          0.0           8.8700058e-05      -9.8558644e-06
75    0.8    0.5    1    1           0.0          0.0           8.8721207e-05      -1.3245929e-05
76    0.9    0.5    1    1           0.0          0.0           8.9053391e-05      -1.7212982e-05
77    1.0    0.5    1    1           0.0          0.0           8.9616138e-05      -2.2259521e-05
78    0.0    0.5    1    1          10.0          0.0           0.00011054281      4.1453492e-05
79    0.1    0.5    1    1           0.0          0.0           0.00010723786      2.9592982e-05
80    0.2    0.5    1    1           0.0          0.0           0.00010407084      1.9136025e-05
81    0.3    0.5    1    1           0.0          0.0           0.00010118665      1.0469078e-05
82    0.4    0.5    1    1           0.0          0.0           9.8737e-05      3.5795056e-06
83    0.5    0.5    1    1           0.0          0.0           9.6828116e-05      -1.8290368e-06
84    0.6    0.5    1    1           0.0          0.0           9.5485159e-05      -6.2111765e-06
85    0.7    0.5    1    1           0.0          0.0           9.4671913e-05      -1.0084258e-05
86    0.8    0.5    1    1           0.0          0.0           9.4323547e-05      -1.3963111e-05
87    0.9    0.5    1    1           0.0          0.0           9.4359086e-05      -1.8328693e-05
88    1.0    0.5    1    1           0.0          0.0           9.4660866e-05      -2.3637031e-05
89    0.0    0.6    1    1          10.0          0.0           0.00011789345      4.3748863e-05
90    0.1    0.6    1    1           0.0          0.0           0.000114667      3.1731679e-05
91    0.2    0.6    1    1           0.0          0.0           0.00011150586      2.113745e-05
92    0.3    0.6    1    1           0.0          0.0           0.00010844934      1.2253414e-05
93    0.4    0.6    1    1           0.0          0.0           0.00010569035      5.0146384e-06
94    0.5    0.6    1    1           0.0          0.0           0.00010339113      -8.3301328e-07
95    0.6    0.6    1    1           0.0          0.0           0.00010163715      -5.6816524e-06
96    0.7    0.6    1    1           0.0          0.0           0.0001004428      -1.0002665e-05
97    0.8    0.6    1    1           0.0          0.0           9.9770886e-05      -1.4281809e-05
98    0.9    0.6    1    1           0.0          0.0           9.9545223e-05      -1.8958856e-05
99    1.0    0.6    1    1           0.0          0.0           9.9626854e-05      -2.4390546e-05
100    0.0    0.7    1    1          10.0          0.0           0.00012555218      4.5804504e-05
101    0.1    0.7    1    1           0.0          0.0           0.00012236018      3.3434623e-05
102    0.2    0.7    1    1           0.0          0.0           0.00011889093      2.280162e-05
103    0.3    0.7    1    1           0.0          0.0           0.00011540806      1.381485e-05
104    0.4    0.7    1    1           0.0          0.0           0.00011218579      6.3554159e-06
105    0.5    0.7    1    1           0.0          0.0           0.00010942904      1.9921763e-07
106    0.6    0.7    1    1           0.0          0.0           0.00010726476      -4.9999269e-06
107    0.7    0.7    1    1           0.0          0.0           0.00010573797      -9.672664e-06
108    0.8    0.7    1    1           0.0          0.0           0.00010481623      -1.4272287e-05
109    0.9    0.7    1    1           0.0          0.0           0.00010440075      -1.9196614e-05
110    1.0    0.7    1    1           0.0          0.0           0.0001043306      -2.4683112e-05
111    0.0    0.8    1    1          10.0          0.0           0.00013461481      4.7472016e-05
112    0.1    0.8    1    1           0.0          0.0           0.00013058078      3.5036457e-05
113    0.2    0.8    1    1           0.0          0.0           0.00012627779      2.4448471e-05
114    0.3    0.8    1    1           0.0          0.0           0.00012201629      1.5394248e-05
115    0.4    0.8    1    1           0.0          0.0           0.00011807697      7.7550838e-06
116    0.5    0.8    1    1           0.0          0.0           0.0001147071      1.3339381e-06
117    0.6    0.8    1    1           0.0          0.0           0.00011208104      -4.1775474e-06
118    0.7    0.8    1    1           0.0          0.0           0.00011027167      -9.1686403e-06
119    0.8    0.8    1    1           0.0          0.0           0.00010923564      -1.4051926e-05
120    0.9    0.8    1    1           0.0          0.0           0.00010880915      -1.9183541e-05
121    1.0    0.8    1    1           0.0          0.0           0.00010872227      -2.4732005e-05
