hybrid1opt particle swarm  one angle with range 0.785398
 particle swarm solution min 1.9600000000e+02 max 2.0400000000e+02  fvalue min 4.4445082472e-05  time 1.938859e+01 cpu time 34.187500 function evals 2400
 particle swarm solution min 1.9600000000e+02 max 2.0400000000e+02  fvalue max 1.1323711431e-04  time 4.180759e+01 cpu time 83.984375 function evals 7000

Nodal information - optimization model
Node   X      Y     Restraints       Fx          Fy           U-x    U-y
 1    0.0    0.0    0    0           0.0          0.0                    0               0
 2    0.1    0.0    1    0           0.0          0.0           3.0904711e-05               0
 3    0.2    0.0    1    0           0.0          0.0           4.6376722e-05               0
 4    0.3    0.0    1    0           0.0          0.0           5.5484095e-05               0
 5    0.4    0.0    1    0           0.0          0.0           6.1410352e-05               0
 6    0.5    0.0    1    0           0.0          0.0           6.5500357e-05               0
 7    0.6    0.0    1    0           0.0          0.0           6.8397203e-05               0
 8    0.7    0.0    1    0           0.0          0.0           7.0456257e-05               0
 9    0.8    0.0    1    0           0.0          0.0           7.2001257e-05               0
10    0.9    0.0    1    0           0.0          0.0           7.3114375e-05               0
11    1.0    0.0    1    0           0.0          0.0           7.3956242e-05               0
12    0.0    0.1    1    1          10.0          0.0           4.8111723e-05      6.929703e-06
13    0.1    0.1    1    1           0.0          0.0           4.5345869e-05      -5.3921198e-06
14    0.2    0.1    1    1           0.0          0.0           5.2298288e-05      -5.0758097e-06
15    0.3    0.1    1    1           0.0          0.0           5.8562901e-05      -4.1360903e-06
16    0.4    0.1    1    1           0.0          0.0           6.3320194e-05      -3.3361143e-06
17    0.5    0.1    1    1           0.0          0.0           6.6831871e-05      -2.833796e-06
18    0.6    0.1    1    1           0.0          0.0           6.9337289e-05      -2.4703246e-06
19    0.7    0.1    1    1           0.0          0.0           7.1227443e-05      -2.320719e-06
20    0.8    0.1    1    1           0.0          0.0           7.2610881e-05      -2.3285098e-06
21    0.9    0.1    1    1           0.0          0.0           7.372041e-05      -2.5722858e-06
22    1.0    0.1    1    1           0.0          0.0           7.4874437e-05      -3.2539774e-06
23    0.0    0.1    1    1          10.0          0.0           6.4655313e-05      9.2772468e-06
24    0.1    0.1    1    1           0.0          0.0           6.25765e-05      -2.1841437e-06
25    0.2    0.1    1    1           0.0          0.0           6.2184523e-05      -6.1653896e-06
26    0.3    0.1    1    1           0.0          0.0           6.4486293e-05      -6.2645032e-06
