hybrid1optga genitic algorthim  one angle with range 0.785398
 ga solution min 1.9601842102e+02 max 2.0399934553e+02  fvalue min 4.4831015642e-05  time 4.682192e+02 cpu time 1066.984375 function evals 91119
 ga solution min 1.9600271419e+02 max 2.0399875200e+02  fvalue max 1.1300476379e-04  time 9.347096e+02 cputime 2129.687500 function evals 182238

Nodal information - optimization model
Node   X      Y     Restraints       Fx          Fy           U-x    U-y
 1    0.0    0.0    0    0           0.0          0.0                    0               0
 2    0.1    0.0    1    0           0.0          0.0           2.9076634e-05               0
 3    0.2    0.0    1    0           0.0          0.0           4.3721299e-05               0
 4    0.3    0.0    1    0           0.0          0.0           5.2515235e-05               0
 5    0.4    0.0    1    0           0.0          0.0           5.8515648e-05               0
 6    0.5    0.0    1    0           0.0          0.0           6.2837489e-05               0
 7    0.6    0.0    1    0           0.0          0.0           6.6052381e-05               0
 8    0.7    0.0    1    0           0.0          0.0           6.849319e-05               0
 9    0.8    0.0    1    0           0.0          0.0           7.038192e-05               0
10    0.9    0.0    1    0           0.0          0.0           7.1933958e-05               0
11    1.0    0.0    1    0           0.0          0.0           7.3182719e-05               0
12    0.0    0.1    1    1          10.0          0.0           4.8690218e-05      1.4654139e-05
13    0.1    0.1    1    1           0.0          0.0           4.384298e-05      -5.7574261e-07
14    0.2    0.1    1    1           0.0          0.0           4.994894e-05      -1.798664e-06
15    0.3    0.1    1    1           0.0          0.0           5.5968996e-05      -1.9395927e-06
16    0.4    0.1    1    1           0.0          0.0           6.074751e-05      -1.9874826e-06
17    0.5    0.1    1    1           0.0          0.0           6.4428064e-05      -2.0753269e-06
18    0.6    0.1    1    1           0.0          0.0           6.7289914e-05      -2.2956659e-06
19    0.7    0.1    1    1           0.0          0.0           6.9530115e-05      -2.6083775e-06
20    0.8    0.1    1    1           0.0          0.0           7.1300497e-05      -3.0839413e-06
21    0.9    0.1    1    1           0.0          0.0           7.2855817e-05      -3.8046327e-06
22    1.0    0.1    1    1           0.0          0.0           7.4626944e-05      -5.1250712e-06
23    0.0    0.1    1    1          10.0          0.0           6.6473012e-05      2.330585e-05
24    0.1    0.1    1    1           0.0          0.0           6.2532399e-05      7.4104554e-06
25    0.2    0.1    1    1           0.0          0.0           6.0983641e-05      3.0608054e-07
26    0.3    0.1    1    1           0.0          0.0           6.2830471e-05      -1.9970245e-06
27    0.4    0.1    1    1           0.0          0.0           6.5489093e-05      -2.9946727e-06
28    0.5    0.1    1    1           0.0          0.0           6.8034236e-05      -3.6219303e-06
29    0.6    0.1    1    1           0.0          0.0           7.0203938e-05      -4.232859e-06
30    0.7    0.1    1    1           0.0          0.0           7.2017176e-05      -4.9702162e-06
31    0.8    0.1    1    1           0.0          0.0           7.3614147e-05      -6.0054543e-06
32    0.9    0.1    1    1           0.0          0.0           7.5094554e-05      -7.5390563e-06
33    1.0    0.1    1    1           0.0          0.0           7.6723847e-05      -9.9180914e-06
34    0.0    0.2    1    1          10.0          0.0           7.9811397e-05      2.878483e-05
35    0.1    0.2    1    1           0.0          0.0           7.5612523e-05      1.4194989e-05
36    0.2    0.2    1    1           0.0          0.0           7.2638034e-05      4.8832416e-06
37    0.3    0.2    1    1           0.0          0.0           7.1568439e-05      -1.4892072e-07
38    0.4    0.2    1    1           0.0          0.0           7.2068494e-05      -2.7682891e-06
39    0.5    0.2    1    1           0.0          0.0           7.3228516e-05      -4.3758628e-06
