hybrid1optga genitic algorthim  one angle with range 0.785398
 ga solution min 1.9600892244e+02 max 2.0399994921e+02  fvalue min 5.4822253486e-01  time 3.450742e+02 cpu time 383.765625 function evals 198089
 ga solution min 1.9600012256e+02 max 2.0399520689e+02  fvalue max 9.8676639680e-01  time 9.503705e+02 cputime 1044.453125 function evals 

Nodal information - optimization model
Node   X      Y     Restraints       Fx          Fy           U-x    U-y
 1    0.0    0.0    0    0           0.0          0.0                    0               0
 2    1.0    0.0    1    0           0.0          0.0           0.00045180541               0
 3    0.0    0.8    1    1          10.0          0.0           0.005885739      0.0060739256
 4    1.0    0.8    1    1           0.0          0.0           0.0057865026      -0.0061012573
 5    0.0    1.5    1    1          10.0          0.0           0.020088716      0.011609869
 6    1.0    1.5    1    1           0.0          0.0           0.020074528      -0.011556623
 7    0.0    2.3    1    1          10.0          0.0           0.042110776      0.016574142
 8    1.0    2.3    1    1           0.0          0.0           0.042083827      -0.016460436
 9    0.0    3.0    1    1          10.0          0.0           0.071075398      0.021007157
10    1.0    3.0    1    1           0.0          0.0           0.071051249      -0.020832986
11    0.0    3.8    1    1          10.0          0.0           0.10621715      0.024936895
12    1.0    3.8    1    1           0.0          0.0           0.10619341      -0.024705946
13    0.0    4.5    1    1          10.0          0.0           0.14680517      0.028393955
14    1.0    4.5    1    1           0.0          0.0           0.14678232      -0.028109615
15    0.0    5.3    1    1          10.0          0.0           0.19215717      0.031409437
16    1.0    5.3    1    1           0.0          0.0           0.19213359      -0.031074334
17    0.0    6.0    1    1          10.0          0.0           0.24163013      0.034012287
18    1.0    6.0    1    1           0.0          0.0           0.24160776      -0.033624527
19    0.0    6.8    1    1          10.0          0.0           0.29463146      0.036229008
20    1.0    6.8    1    1           0.0          0.0           0.29461087      -0.035801698
21    0.0    7.5    1    1          10.0          0.0           0.35061671      0.038099379
22    1.0    7.5    1    1           0.0          0.0           0.35059585      -0.037631058
23    0.0    8.3    1    1          10.0          0.0           0.40908437      0.039648879
24    1.0    8.3    1    1           0.0          0.0           0.40906428      -0.039142438
25    0.0    9.0    1    1          10.0          0.0           0.46957866      0.040907449
26    1.0    9.0    1    1           0.0          0.0           0.46955887      -0.040365991
27    0.0    9.8    1    1          10.0          0.0           0.53168779      0.041905467
28    1.0    9.8    1    1           0.0          0.0            0.5316688      -0.041331973
29    0.0   10.5    1    1          10.0          0.0            0.5950463      0.042673246
30    1.0   10.5    1    1           0.0          0.0           0.59502783      -0.042070989
31    0.0   11.3    1    1          10.0          0.0           0.65933381      0.043241058
32    1.0   11.3    1    1           0.0          0.0           0.65931589      -0.042613136
33    0.0   12.0    1    1          10.0          0.0           0.72427518      0.043639103
34    1.0   12.0    1    1           0.0          0.0           0.72425831      -0.042988705
35    0.0   12.8    1    1          10.0          0.0           0.78964157      0.043897704
36    1.0   12.8    1    1           0.0          0.0           0.78962475      -0.04322795
37    0.0   13.5    1    1          10.0          0.0           0.85524778      0.044047096
38    1.0   13.5    1    1           0.0          0.0           0.85523201      -0.043360801
39    0.0   14.3    1    1          10.0          0.0           0.92095554      0.04411751
40    1.0   14.3    1    1           0.0          0.0           0.92094073      -0.043418279
41    0.0   15.0    1    1          10.0          0.0           0.98667454      0.044139858
42    1.0   15.0    1    1           0.0          0.0           0.98665514      -0.043429649
